vocab,amount
,4
$200,1
$40,1
1500s,1
18th,2
18thcentury,1
19th,1
1stgrowths,1
20th,1
30room,1
3c,1
3d,2
5”,1
80’s,1
a,1418
abandon,1
abandoned,1
abandoning,1
abilities,1
ability,10
ability”,1
able,4
aboard,3
aboriginal,2
about,91
above,4
abroad,5
absence,1
absent,1
absolute,1
absorb,2
absorbing,1
abstaining,1
abstract,1
abundant,1
academic,2
accelerator,1
accent,1
accept,6
acceptable,2
acceptance,1
accepted,2
accepted”,1
access,2
accessories,2
accident,13
accidental,1
accidentally,2
accidents,2
accompany,1
accomplish,1
according,4
account,1
accountant,1
accounting,3
account”,1
accuracy,2
accurate,1
accused,3
ache,1
aches,1
achieve,4
achievement,6
achievements,1
achilles’,1
acquaintance,2
acquire,1
acres,1
acrobatics,1
across,3
act,3
acting,3
action,3
actions,2
activated,1
active,1
activities,4
activity,3
actors,2
actress,1
acts,1
actual,1
actually,3
adapt,1
addict,1
addicted,4
addiction,1
addicts,2
adding,1
addition,7
additional,1
address,2
addresses,1
adds,1
adept,1
adjust,1
adjusting,1
admirable,1
admiration,1
admire,2
admired,2
admission,1
admit,4
admits,1
admitted,2
adopted,1
adorable,1
adult,1
adults,4
adults’,1
advance,6
advanced,2
advantage,1
advantages,2
adventure,1
advertise,2
advertisement,1
advertising,4
advice,3
advices,1
advised,1
adviser,1
advocating,1
affair,1
affairs,2
affected,1
affection,2
affects,1
afford,8
affordable,2
afraid,7
after,126
afternoon,12
afterward,2
afterwards,9
afterwards”,1
again,29
against,9
age,9
agencies,1
agency,7
agent,1
agents,1
ages,1
aggressive,1
aging,1
ago,14
agree,2
agreed,4
agriculture,6
ahead,2
aid,1
aids,3
aids’s,1
aimed,1
air,7
airconditioner,1
aircraft,3
airline,1
airmail,1
airplane,4
airport,6
aisle,1
alarmed,1
album,6
alcohol,4
alcohol:,1
alcoholic,1
alcoholic”,1
alert,2
alex,4
alice,3
alice’s,1
alike,1
alist,1
alive,4
all,112
all;,1
allen,1
alley,1
allow,1
allowance,1
allowed,1
allround,1
almost,12
alone,15
along,13
aloud,1
alphabet,1
already,5
also,57
although,21
altogether,1
aluminum,1
always,49
am,46
amateurs,1
amazed,4
amazement,1
amazing,3
ambassador,2
ambition,2
ambitious,1
ambulance,1
america,4
american,6
among,5
amount,11
amounts,1
amuse,1
amusement,3
an,181
analyses,2
analyze,1
analyzed,1
ancestors,1
ancestors’,1
ancestors”,1
ancient,4
and,1083
andy,5
anesthetic,1
angel,2
anger,4
angle,1
angrily,1
angry,7
animal,8
animals,8
animation,1
ankle,3
ankles,1
annie’s,1
anniversary,1
announced,2
announcement,2
annoyed,2
annoying,5
annual,5
another,28
answer,3
answered,6
answering,1
ant,1
antique,1
antiques,2
ants,2
anxiety,1
anxious,3
any,27
anybody,1
anyhow,2
anyhow”,1
anymore,16
anyone,1
anything,14
anytime,4
anyway,2
anyways,1
anywhere,2
aoc,1
apart,3
apartment,7
ape,1
apologize,2
apologized,1
apology,3
apparent,1
appeal,2
appear,2
appearance,7
appearance”,1
appeared,5
appendicitis,1
appetite,1
applaud,1
applauded,2
applause,1
appliances,1
applicant,1
applicants,1
application,3
applied,2
apply,1
appointments,1
appoints,1
appraisers,1
appreciate,2
appreciated,1
appreciating,1
appreciation,2
apprentice,2
approach,5
approaching,1
appropriate,1
appropriately,1
approval,1
approve,1
approved,2
april,1
apron,2
arabic,1
arch,1
archaeologist,1
archaeology,1
are,146
area,8
areas,3
aren’t,2
argue,1
argued;,1
argues,1
arises,1
aristocratic,1
arithmetic,1
arm,2
armchair,1
armed,1
arms,2
army,7
around,25
aroundtheclock,1
arouse,2
arrange,2
arranged,1
arrest,2
arrested,2
arrival,1
arrive,1
arrived,11
arrogant,1
arrows,1
art,13
article,2
articles,4
artificial,1
artist,9
artistic,1
artists,9
artist’s,1
arts,13
artworks,2
as,152
ashamed,1
ashes,1
asia,1
asian,2
aside,2
ask,11
asked,32
asking,3
asks,2
asleep,4
aspect,1
aspiration,1
aspire,1
assemble,1
assembly,1
assigned,1
assimilation,1
assistance,1
assistant,1
assisting,1
associate,1
association,1
associations,1
assuming,1
assurance,1
assure,1
astonished,1
astonishing,1
astray,1
at,198
ate,6
athlete,3
athletes,2
athletic,1
atmosphere,7
atms,1
attach,1
attack,1
attacked,3
attacking,1
attacks,1
attempt,2
attempting,1
attended,1
attention,9
attitude,11
attract,3
attracted,4
attracting,1
attraction,1
attractive,7
auction,1
audience,8
audiences,3
audition,2
august,1
aunt,2
auntie,1
aunts,2
australia,4
australian,1
author,3
authorities,1
authority,1
authors,1
automatic,1
automobile,1
autumn,1
available,2
avantgarde,1
avatar,2
avenue,1
average,2
avoid,7
avoided,1
avoiding,1
awaits,1
awake,3
